gameid,title,developers,publishers,genres,supported_languages,release_date,platform
666890,Let's! Revolution!,['BUCK'],['BUCK'],"['Puzzle', 'Roguelite']",,2024-04-11,xbox
682347,I Am Your President,"['President Studio', '100 Games']",['Ultimate Games'],['Simulation'],,2024-05-08,xbox
666767,Pocket Clothier,['Kairosoft'],['Kairosoft'],['Management'],,2024-04-18,xbox
666597,Hauntii,['Moonloop Games'],['Firestoke'],"[""Shoot 'em up""]",,2024-05-23,xbox
681920,Panzer Paladin,['Tribute Games'],['Tribute Games'],['Platformer'],,2024-06-13,xbox
681705,The Hong Kong Massacre,['Vreski'],['Untold Tales'],['Action'],,2024-06-07,xbox
681643,FROGUN Encore,['Molegato'],['Top Hat Studios'],['Platformer'],,2024-06-25,xbox
677055,The Mermaid of Zennor,['ebi-hime'],['Penguin Pop Games'],['Visual Novel'],,2024-05-22,xbox
601882,XDefiant,['Ubisoft - San Francisco'],['Ubisoft Entertainment'],"['Free to Play', 'shooter']",,2024-05-21,xbox
676908,Morkull Ragast's Rage,['Disaster Games'],['Selecta Play'],['Action-Adventure'],,2025-01-16,xbox
676177,Terminal 81,['David Pateti'],['Sometimes You'],['Adventure'],,2024-05-29,xbox
676114,The Glass Staircase,['Puppet Combo'],['Puppet Combo'],['Survival Horror'],,2024-05-24,xbox
675949,My Little Pony: A Zephyr Heights Mystery,['Drakhar Studio'],['Outright Games'],['Action-Adventure'],,2024-05-17,xbox
674877,F1 24,['Codemasters'],['Electronic Arts'],"['Simulation Racing', 'Automobile', 'Sports']",,2024-05-31,xbox
674404,FoxyRush,['BUG-Studio'],['Ratalaika Games'],['Platformer'],,2024-05-17,xbox
674145,Not Not - A Brain Buster,['Alt Shift'],['naptime.games'],['Puzzle'],,2024-05-17,xbox
674001,Anime Studio Story,['Kairosoft'],['Kairosoft'],['Management'],,2024-05-16,xbox
673897,Galacticare,['Brightrock Games'],['CULT Games'],"['Simulation', 'Management']",,2024-05-23,xbox
673645,Survive on Raft,['Megame Studio'],['Megame Studio'],['Survival'],,2024-05-22,xbox
661436,Deceit 2,['World Makers'],['World Makers'],"['Action Horror', 'Party']",,2024-04-09,xbox
661255,Reed 2,['PXLink'],['Ratalaika Games'],['Platformer'],,2024-04-09,xbox
636578,Cluedo: The Classic Mystery Game,,,,,2023-12-05,xbox
660346,One Last Breath,,,,,2024-03-28,xbox
712589,TRIALS of MANA,,,,,2024-09-26,xbox
655217,Cybertrash STATYX (Xbox Series X|S),['Uncle Frost Team'],['Sometimes You'],['Platformer'],,2024-03-13,xbox
554216,Ship of Fools,,,,,2022-11-22,xbox
658909,MotoGP24,,,,,2024-05-02,xbox
660581,Dragon's Dogma 2,,,,,2024-03-22,xbox
657294,Unicorn Overlord,,,,,2024-03-08,xbox
16294,iO,['Gamious'],['Gamious'],"['Action', 'Adventure', 'Racing', 'platformer', 'Flying']","['French', 'Spanish', 'German', 'Italian', 'Dutch', 'Polish', 'Portuguese (Brazil)']",2017-02-14,xbox
372434,Bunny Parking,['DillyFrame'],['DillyFrame'],['strategy'],,2020-02-19,xbox
660702,Harold Halibut,['Slow Bros.'],['Slow Bros.'],['Adventure'],,2024-04-16,xbox
649355,Call of Heroes: Tower Defense,['Bakart Games'],['Bakart Games'],"['Strategy', 'Tower Defence']",,2024-02-16,xbox
628141,Call of Toys: Tower Defense!,['Bakart Games'],['Bakart Games'],"['Strategy', 'Tower Defence']",,2023-11-03,xbox
659103,Sherlock Purr 2,['COMMANDO PANDA'],['COMMANDO PANDA'],['Puzzle'],,2024-03-15,xbox
659056,PJ Masks Power Heroes: Mighty Alliance,['Petoons Studio'],['Outright Games'],"['Platformer', 'On Rails']",,2024-03-15,xbox
658610,MLB The Show 24,['San Diego Studio'],['MLB'],"['Sports', 'Baseball']",,2024-03-19,xbox
658548,Power of Ten,['Pew Times Three'],['Pew Times Three'],"['Roguelite', ""Shoot 'em up""]",,2024-03-20,xbox
657687,Hotel Renovator,['Two Horizons'],['Focus Entertainment'],['Simulation'],,2024-03-12,xbox
657406,Adam Wolfe,['Mad Head Games'],['Legacy Games'],"['Adventure', 'Point & Click']",,2024-03-08,xbox
657065,S.T.A.L.K.E.R.: Call of Prypiat,['GSC Game World'],['GSC Game World'],"['First Person Shooter', 'Survival', 'Open World']",,2024-03-06,xbox
657304,Valiant Hearts: Coming Home,['Ubisoft Montpellier'],['Ubisoft'],['Adventure'],,2024-03-07,xbox
656873,Llamasoft: The Jeff Minter Story,['Digital Eclipse'],['Digital Eclipse'],"['Action', 'Collection']",,2024-03-13,xbox
656442,WWE 2K24,['Visual Concepts'],['2K Games'],"['Sports', 'Wrestling']",,2024-03-08,xbox
655651,Metaball,['Bucketplay'],['Bucketplay'],"['Sports', 'Basketball']",,2024-03-08,xbox
655513,Jumbo Airport Story,['Kairosoft'],['Kairosoft'],['Management'],,2024-02-29,xbox
655388,Beautiful Sakura: Fitness Club,['Cropware'],['Cropware'],['Visual Novel'],,2024-03-13,xbox
655510,Mega Mall Story,['Kairosoft'],['Kairosoft'],['Management'],,2024-02-29,xbox
655045,ABRISS - build to destroy,['Randwerk Games'],['astragon Entertainment'],['Sandbox'],,2024-03-07,xbox
654173,Manic Mechanics,['4J Studios'],['4J Studios'],['Party'],,2024-03-07,xbox
654127,Colorful Boi,['Webnetic'],['Webnetic'],['Platformer'],,2024-03-01,xbox
653914,Rock 'N Racing Grand Prix,['Super PowerUp Games'],['Super PowerUp Games'],"['Arcade Racing', 'Automobile']",,2024-03-01,xbox
630037,SpellForce: Conquest of Eo,['Owned by Gravity'],['THQ Nordic'],"['Strategy', 'Turn Based']",,2023-11-07,xbox
572571,Inkulinati,['Yaza Games'],['Daedalic Entertainment'],"['Strategy', 'Turn Based']",,2024-02-22,xbox
653680,Astebros,['Neofid Studios'],['PixelHeart'],['Platformer'],,2024-03-14,xbox
635914,Born Of Bread,['WildArts'],['Plug In Digital'],"['Role Playing', 'Turn Based']",,2023-12-05,xbox
636019,Paperman: Adventure Delivered,['Secret Item Games'],['Mindscape'],['Platformer'],,2023-12-21,xbox
635482,Laika: Aged Through Blood,['Brainwash Gang'],['Headup Games'],"['Platformer', 'Metroidvania']",,2023-12-05,xbox
635252,Metal Mind,['Whirllaxy Studio'],['E-Home Entertainment'],"['Roguelite', ""Shoot 'em up""]",,2023-12-28,xbox
635251,Deleted - Cyber Invasion,['EpiXR Games'],['EpiXR Games'],"['Roguelite', ""Shoot 'em up""]",,2023-12-19,xbox
635241,Cave Digger 2,['VRKiwi'],['VRKiwi'],['Simulation'],,2023-12-20,xbox
634770,Happy Words,['LAN - GAMES EOOD'],['LAN - GAMES EOOD'],['Card & Board'],,2023-12-08,xbox
607723,IceLine,['Hyperbeam Games'],['Desert Water Games'],['Puzzle'],,2023-07-21,xbox
634458,Cards We're Dealt,['Cole Chittim'],['Cole Chittim'],['Survival Horror'],,2023-12-12,xbox
635016,Elderand,['Mantra'],['Graffiti Games'],"['Platformer', 'Metroidvania']",,2023-11-30,xbox
647509,Welcome to ParadiZe,,,,,2024-02-29,xbox
645815,Garden Life,,,,,2024-02-22,xbox
634018,Silent Scream,,,,,2023-11-29,xbox
645082,Howl,,,,,2024-01-23,xbox
649351,Edge of Reality (Xbox Series X|S),['Moon Eclipse'],['Sometimes You'],['Visual Novel'],,2024-02-16,xbox
652763,Unlife,,,,,2024-02-23,xbox
645271,Those Who Remain.,,,,,2024-01-16,xbox
644948,Alone in the Dark,,,,,2024-03-20,xbox
634019,Heavy Burden,,,,,2023-11-29,xbox
555676,Robolifter,['Flying Islands Team'],['Flying Islands Team'],['Puzzle'],,2022-11-25,xbox
633911,Stellar Interface,['ImaginationOverflow'],['ImaginationOverflow'],"[""Shoot 'em up""]",,2023-11-22,xbox
634016,Zomborg,"['GrabTheGames', 'GameDevLab']",['Ratalaika Games'],"[""Shoot 'em up""]",,2023-12-01,xbox
650453,A Time Traveller's Guide To Past Delicacies (Xbox Series X|S),['Outlands'],['Sometimes You'],['Action'],,2024-02-21,xbox
633737,Irem Collection Volume 1,"['Tozai Games', 'Irem']",['ININ Games'],"[""Shoot 'em up"", 'Collection']",,2023-12-07,xbox
650194,Classified: France '44,['Absolutely Games'],['Team17 Software'],"['Strategy', 'Turn Based']",,2024-03-05,xbox
649920,Aery - Stone Age,['EpiXR Games'],['EpiXR Games'],['Adventure'],,2024-02-23,xbox
649352,Edge of Reality,['Moon Eclipse'],['Sometimes You'],['Visual Novel'],,2024-02-16,xbox
649509,The Tales of Bayun,['FlyinDogs'],['Samustai'],['Visual Novel'],,2024-02-09,xbox
649350,Deathly Dangerous,['HugePixel'],['ChiliDog Interactive'],"[""Shoot 'em up""]",,2024-02-09,xbox
649121,High Sea Saga DX,['Kairosoft'],['Kairosoft'],['Management'],,2024-02-01,xbox
648424,PlateUp!,['It’s happening'],['Yogscast Games'],"['Roguelite', 'Party']",,2024-02-15,xbox
638957,Amazing Maze,['Lucky Raccoon Games'],['Lucky Raccoon Games'],['Puzzle'],,2023-12-15,xbox
647863,Adrian's Tale,['Badri Bebua'],['Badri Bebua'],['Action-Adventure'],,2024-02-02,xbox
647679,Dreamland Solitaire,['Alawar Entertainment'],['ChiliDog Interactive'],['Card & Board'],,2024-02-02,xbox
647791,while True: learn(),['Luden.io'],['Luden.io'],['Puzzle'],,2024-01-26,xbox
647441,The House of Da Vinci,['Blue Brain Games'],['Blue Brain Games'],['Puzzle'],,2024-01-25,xbox
647442,Mustache In Hell,['IdunaSoft'],['QUByte Interactive'],"[""Shoot 'em up""]",,2024-02-08,xbox
646768,REVEIL,['Pixelsplit'],['Daedalic Entertainment'],['Adventure'],,2024-03-06,xbox
646387,sCATch 2: The Painter Cat,['Colossus Game Studio'],['Colossus Game Studio'],['Puzzle'],,2024-01-26,xbox
646386,Croc's World 4,['Sprakelsoft'],['Sprakelsoft'],['Platformer'],,2024-01-26,xbox
